"","paper_id","sample_country","clean_name","author","title","year","journal","volume","issue","pages","notes"
"368",79,"Belgium","Securigera varia","De Meyer et al","Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)",2011,"Soil Biology and Biochemistry",43,"","2384-2396",""
"372",79,"Belgium","Trifolium arvense","De Meyer et al","Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)",2011,"Soil Biology and Biochemistry",43,"","2384-2396",""
"376",79,"Belgium","Trifolium hybridum","De Meyer et al","Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)",2011,"Soil Biology and Biochemistry",43,"","2384-2396",""
"380",79,"Belgium","Trifolium pratense","De Meyer et al","Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)",2011,"Soil Biology and Biochemistry",43,"","2384-2396",""
"384",79,"Belgium","Trifolium repens","De Meyer et al","Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)",2011,"Soil Biology and Biochemistry",43,"","2384-2396",""
"388",79,"Belgium","Vicia cracca","De Meyer et al","Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)",2011,"Soil Biology and Biochemistry",43,"","2384-2396",""
"392",79,"Belgium","Vicia sativa","De Meyer et al","Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)",2011,"Soil Biology and Biochemistry",43,"","2384-2396",""
"396",79,"Belgium","Vicia sepium","De Meyer et al","Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)",2011,"Soil Biology and Biochemistry",43,"","2384-2396",""
"400",79,"Belgium","Vicia tetrasperma","De Meyer et al","Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)",2011,"Soil Biology and Biochemistry",43,"","2384-2396",""
"404",80,"Belgium","Robinia pseudoacacia","De Meyer et al","Tardiphaga robiniae gen. nov., sp. Nov., a new genus in the family Bradyrhizobiaceae isolated from Robinia pseudoacacia in Flanders (Belgium)",2012,"Systematic and Applied Microbiology",35,"","205-214",""
"412",81,"South_Africa","Lebeckia ambigua","De Meyer et al","Burkholderia sprentiae sp. nov. isolated from Lebeckia ambigua 1 root nodules from South Africa",2013,"International Journal of Systematic and Evolutionary Microbiology",63,"","3950-3957",""
"415",82,"South_Africa","Rhynchosia ferulifolia","De Meyer et al","Burkholderia rhynchosiae sp. nov. isolated from Rhynchosia ferulifolia 1 root nodules from South",2013,"International Journal of Systematic and Evolutionary Microbiology",63,"","3944-3949",""
"418",83,"Spain","Melilotus indicus","del Villar et al","Stable low molecular weight RNA profiling showed variations within Sinorhizobium meliloti and Sniorhizobium medicae nodulating different legumes from the alfalfa cross-inoculation group",2008,"FEMS Microbiology Letters",282,"","273-281",""
"421",83,"Spain","Medicago monspeliaca","del Villar et al","Stable low molecular weight RNA profiling showed variations within Sinorhizobium meliloti and Sniorhizobium medicae nodulating different legumes from the alfalfa cross-inoculation group",2008,"FEMS Microbiology Letters",282,"","273-281",""
"424",83,"Spain","Medicago lupulina","del Villar et al","Stable low molecular weight RNA profiling showed variations within Sinorhizobium meliloti and Sniorhizobium medicae nodulating different legumes from the alfalfa cross-inoculation group",2008,"FEMS Microbiology Letters",282,"","273-281",""
"427",83,"Spain","Melilotus officinalis","del Villar et al","Stable low molecular weight RNA profiling showed variations within Sinorhizobium meliloti and Sniorhizobium medicae nodulating different legumes from the alfalfa cross-inoculation group",2008,"FEMS Microbiology Letters",282,"","273-281",""
"430",83,"Spain","Medicago sphaerocarpa","del Villar et al","Stable low molecular weight RNA profiling showed variations within Sinorhizobium meliloti and Sniorhizobium medicae nodulating different legumes from the alfalfa cross-inoculation group",2008,"FEMS Microbiology Letters",282,"","273-281",""
"433",84,"China","Sphaerophysa salsula","Deng et al","Diversity of endophytic bacteria within nodules of the Sphaerophysa salsula in different regions of Loess Plateau in China",2011,"FEMS Microbioly Ecology",76,"","463-475",""
"437",85,"Tunisia","Medicago intertexta","Djedidi et al","Stress Tolerance and Symbiotic and Phylogenic Features of Root Nodule Bacteria Associated with Medicago Species in Different Bioclimatic Regions of Tunisia",2011,"Microbes and Environments",26,"1","36-45",""
"439",85,"Tunisia","Medicago minima","Djedidi et al","Stress Tolerance and Symbiotic and Phylogenic Features of Root Nodule Bacteria Associated with Medicago Species in Different Bioclimatic Regions of Tunisia",2011,"Microbes and Environments",26,"1","36-45",""
"441",85,"Tunisia","Medicago polymorpha","Djedidi et al","Stress Tolerance and Symbiotic and Phylogenic Features of Root Nodule Bacteria Associated with Medicago Species in Different Bioclimatic Regions of Tunisia",2011,"Microbes and Environments",26,"1","36-45",""
"443",87,"Senegal","Abrus pulchellus","Doignon-Bourcier et al","Genotypic characteristic of Bradyrhyzobium strains nodulating small senegalese legumes by 16S-23S rRNA intergenic gene spacers and amplified fragment length polymorphism fingerprint anayles",2000,"Applied and Environmental Microbiology",66,"9","3987-3997",""
"445",87,"Senegal","Alysicarpus glumaceus","Doignon-Bourcier et al","Genotypic characteristic of Bradyrhyzobium strains nodulating small senegalese legumes by 16S-23S rRNA intergenic gene spacers and amplified fragment length polymorphism fingerprint anayles",2000,"Applied and Environmental Microbiology",66,"9","3987-3997",""
"449",87,"Senegal","Crotalaria lathyroides","Doignon-Bourcier et al","Genotypic characteristic of Bradyrhyzobium strains nodulating small senegalese legumes by 16S-23S rRNA intergenic gene spacers and amplified fragment length polymorphism fingerprint anayles",2000,"Applied and Environmental Microbiology",66,"9","3987-3997",""
"451",87,"Senegal","Tephrosia bracteolata","Doignon-Bourcier et al","Genotypic characteristic of Bradyrhyzobium strains nodulating small senegalese legumes by 16S-23S rRNA intergenic gene spacers and amplified fragment length polymorphism fingerprint anayles",2000,"Applied and Environmental Microbiology",66,"9","3987-3997",""
"453",87,"Senegal","Zornia glochidiata","Doignon-Bourcier et al","Genotypic characteristic of Bradyrhyzobium strains nodulating small senegalese legumes by 16S-23S rRNA intergenic gene spacers and amplified fragment length polymorphism fingerprint anayles",2000,"Applied and Environmental Microbiology",66,"9","3987-3997",""
"455",87,"Senegal","Alysicarpus ovalifolius","Doignon-Bourcier et al","Genotypic characteristic of Bradyrhyzobium strains nodulating small senegalese legumes by 16S-23S rRNA intergenic gene spacers and amplified fragment length polymorphism fingerprint anayles",2000,"Applied and Environmental Microbiology",66,"9","3987-3997",""
"457",87,"Senegal","Alysicarpus rugosus","Doignon-Bourcier et al","Genotypic characteristic of Bradyrhyzobium strains nodulating small senegalese legumes by 16S-23S rRNA intergenic gene spacers and amplified fragment length polymorphism fingerprint anayles",2000,"Applied and Environmental Microbiology",66,"9","3987-3997",""
"459",87,"Senegal","Bryaspis lupulina","Doignon-Bourcier et al","Genotypic characteristic of Bradyrhyzobium strains nodulating small senegalese legumes by 16S-23S rRNA intergenic gene spacers and amplified fragment length polymorphism fingerprint anayles",2000,"Applied and Environmental Microbiology",66,"9","3987-3997",""
"461",87,"Senegal","Senna insularis","Doignon-Bourcier et al","Genotypic characteristic of Bradyrhyzobium strains nodulating small senegalese legumes by 16S-23S rRNA intergenic gene spacers and amplified fragment length polymorphism fingerprint anayles",2000,"Applied and Environmental Microbiology",66,"9","3987-3997",""
"463",87,"Senegal","Crotalaria glaucoides","Doignon-Bourcier et al","Genotypic characteristic of Bradyrhyzobium strains nodulating small senegalese legumes by 16S-23S rRNA intergenic gene spacers and amplified fragment length polymorphism fingerprint anayles",2000,"Applied and Environmental Microbiology",66,"9","3987-3997",""
"465",87,"Senegal","Crotalaria goreensis","Doignon-Bourcier et al","Genotypic characteristic of Bradyrhyzobium strains nodulating small senegalese legumes by 16S-23S rRNA intergenic gene spacers and amplified fragment length polymorphism fingerprint anayles",2000,"Applied and Environmental Microbiology",66,"9","3987-3997",""
"467",87,"Senegal","Crotalaria hyssopifolia","Doignon-Bourcier et al","Genotypic characteristic of Bradyrhyzobium strains nodulating small senegalese legumes by 16S-23S rRNA intergenic gene spacers and amplified fragment length polymorphism fingerprint anayles",2000,"Applied and Environmental Microbiology",66,"9","3987-3997",""
"469",87,"Senegal","Crotalaria retusa","Doignon-Bourcier et al","Genotypic characteristic of Bradyrhyzobium strains nodulating small senegalese legumes by 16S-23S rRNA intergenic gene spacers and amplified fragment length polymorphism fingerprint anayles",2000,"Applied and Environmental Microbiology",66,"9","3987-3997",""
"471",87,"Senegal","Eriosema glomeratum","Doignon-Bourcier et al","Genotypic characteristic of Bradyrhyzobium strains nodulating small senegalese legumes by 16S-23S rRNA intergenic gene spacers and amplified fragment length polymorphism fingerprint anayles",2000,"Applied and Environmental Microbiology",66,"9","3987-3997",""
"473",87,"Senegal","Indigofera astragalina","Doignon-Bourcier et al","Genotypic characteristic of Bradyrhyzobium strains nodulating small senegalese legumes by 16S-23S rRNA intergenic gene spacers and amplified fragment length polymorphism fingerprint anayles",2000,"Applied and Environmental Microbiology",66,"9","3987-3997",""
"475",87,"Senegal","Indigofera hirsuta","Doignon-Bourcier et al","Genotypic characteristic of Bradyrhyzobium strains nodulating small senegalese legumes by 16S-23S rRNA intergenic gene spacers and amplified fragment length polymorphism fingerprint anayles",2000,"Applied and Environmental Microbiology",66,"9","3987-3997",""
"477",87,"Senegal","Indigofera microcarpa","Doignon-Bourcier et al","Genotypic characteristic of Bradyrhyzobium strains nodulating small senegalese legumes by 16S-23S rRNA intergenic gene spacers and amplified fragment length polymorphism fingerprint anayles",2000,"Applied and Environmental Microbiology",66,"9","3987-3997",""
"479",87,"Senegal","Indigofera senegalensis","Doignon-Bourcier et al","Genotypic characteristic of Bradyrhyzobium strains nodulating small senegalese legumes by 16S-23S rRNA intergenic gene spacers and amplified fragment length polymorphism fingerprint anayles",2000,"Applied and Environmental Microbiology",66,"9","3987-3997",""
"481",87,"Senegal","Indigofera stenophylla","Doignon-Bourcier et al","Genotypic characteristic of Bradyrhyzobium strains nodulating small senegalese legumes by 16S-23S rRNA intergenic gene spacers and amplified fragment length polymorphism fingerprint anayles",2000,"Applied and Environmental Microbiology",66,"9","3987-3997",""
"483",87,"Senegal","Indigofera tinctoria","Doignon-Bourcier et al","Genotypic characteristic of Bradyrhyzobium strains nodulating small senegalese legumes by 16S-23S rRNA intergenic gene spacers and amplified fragment length polymorphism fingerprint anayles",2000,"Applied and Environmental Microbiology",66,"9","3987-3997",""
"485",87,"Senegal","Flemingia faginea","Doignon-Bourcier et al","Genotypic characteristic of Bradyrhyzobium strains nodulating small senegalese legumes by 16S-23S rRNA intergenic gene spacers and amplified fragment length polymorphism fingerprint anayles",2000,"Applied and Environmental Microbiology",66,"9","3987-3997",""
"487",87,"Senegal","Sesbania rostrata","Doignon-Bourcier et al","Genotypic characteristic of Bradyrhyzobium strains nodulating small senegalese legumes by 16S-23S rRNA intergenic gene spacers and amplified fragment length polymorphism fingerprint anayles",2000,"Applied and Environmental Microbiology",66,"9","3987-3997",""
"489",87,"Senegal","Tephrosia villosa","Doignon-Bourcier et al","Genotypic characteristic of Bradyrhyzobium strains nodulating small senegalese legumes by 16S-23S rRNA intergenic gene spacers and amplified fragment length polymorphism fingerprint anayles",2000,"Applied and Environmental Microbiology",66,"9","3987-3997",""
"491",87,"Senegal","Rhynchosia minima","Doignon-Bourcier et al","Genotypic characteristic of Bradyrhyzobium strains nodulating small senegalese legumes by 16S-23S rRNA intergenic gene spacers and amplified fragment length polymorphism fingerprint anayles",2000,"Applied and Environmental Microbiology",66,"9","3987-3997",""
"493",88,"Canary_Islands","Anagyris latifolia","Donate-Correa et al","Different Mesorhizobium species sharing the same symbiotic genes nodulate the shrub legume Anagyris latifolia",2007,"Systematic and Applied Microbiology",30,"","615-623",""
"497",89,"Canada","Lathyrus japonicus","Drouin et al","Classification of bacteria nodulating Lathyrus japonicus and Lathyrus pratensis in Northern Quebec as strains of Rhizobium leguminosarum boivar viciae",1996,"International Journal of Systematic Bacteriology",46,"4","1016-1024",""
"498",89,"Canada","Lathyrus pratensis","Drouin et al","Classification of bacteria nodulating Lathyrus japonicus and Lathyrus pratensis in Northern Quebec as strains of Rhizobium leguminosarum boivar viciae",1996,"International Journal of Systematic Bacteriology",46,"4","1016-1024",""
"499",90,"Senegal","Faidherbia albida","Dupuy et al","Phenotypic and genotypic characterization of bradyrhizobia nodulating the leguminous tree Acacia albida",1994,"Interantional journal of systematic bacteriology",44,"3","461-473",""
"500",92,"Spain","Lupinus mariae-josephae","Duran et al","Genetic diversity of indigenous rhizobial symbionts of the Lupinus mariae-josephae endemism from alkaline-limed soils within its area of distribultion in Eastern Spain",2013,"Systematic and Applied Microbiology",36,"","128-136",""
"504",93,"Argentina","Lotus tenuis","Estrella et al","Genetic diversity and host range of rhizobia nodulating Lotus tenuis in typical soils of the Salado River Basin (Argentina)",2009,"Applied and Environmental Microbiology",75,"4","1088-1098",""
"508",94,"Senegal","Acacia senegal","Fall et al","Phenotypic and genotypic characteriztics of Acacia senegal (L.) Willd. Root-nodulating bacteria isolated from soils in the dryland part of Senegal",2008,"Letters in Applied Microbiology",47,"","85-97",""
"510",96,"Algeria","Retama raetam","Farida et al","Retama species growing in different ecological-climatic areas of northeastern Algeria have a narrow range of rhizobia that form a novel phylogenetic clade within the Bradyrhizobium genus",2009,"Systematic and Applied Microbiology",32,"","245-255",""
"517",96,"Algeria","Retama sphaerocarpa","Farida et al","Retama species growing in different ecological-climatic areas of northeastern Algeria have a narrow range of rhizobia that form a novel phylogenetic clade within the Bradyrhizobium genus",2009,"Systematic and Applied Microbiology",32,"","245-255",""
"524",97,"Brazil","Leucaena leucocephala","Florentino et al","Sesbania virgata stimulates the occurrence of its microsymbionts of other species",2009,"Sci. Agric.",66,"5","667-676","check journal"
"525",97,"Brazil","Macroptilium atropurpureum","Florentino et al","Sesbania virgata stimulates the occurrence of its microsymbionts of other species",2009,"Sci. Agric.",66,"5","667-676","check journal"
"526",97,"Brazil","Sesbania virgata","Florentino et al","Sesbania virgata stimulates the occurrence of its microsymbionts of other species",2009,"Sci. Agric.",66,"5","667-676","check journal"
"527",98,"Brazil","Dimorphandra wilsonii","Fonseca et al","Nodulation in Dimorphandra wilsonii Rizz. (Caesalphinioideae), a threatened species native to the Brazilian Cerrado",2012,"PLoS ONE",7,"11","e49520",""
"529",99,"Uruguay","Acacia caven","Frioni et al","Differentiation of rhizobia isolated from native legume trees in Uruguay",2001,"Applied Soil Ecology",16,"","275-282",""
"530",99,"Uruguay","Enterolobium contortisiliquum","Frioni et al","Differentiation of rhizobia isolated from native legume trees in Uruguay",2001,"Applied Soil Ecology",16,"","275-282",""
"531",99,"Uruguay","Erythrina crista-galli","Frioni et al","Differentiation of rhizobia isolated from native legume trees in Uruguay",2001,"Applied Soil Ecology",16,"","275-282",""
"532",99,"Uruguay","Lonchocarpus nitidus","Frioni et al","Differentiation of rhizobia isolated from native legume trees in Uruguay",2001,"Applied Soil Ecology",16,"","275-282",""
"533",99,"Uruguay","Peltophorum dubium","Frioni et al","Differentiation of rhizobia isolated from native legume trees in Uruguay",2001,"Applied Soil Ecology",16,"","275-282",""
"534",99,"Uruguay","Sesbania virgata","Frioni et al","Differentiation of rhizobia isolated from native legume trees in Uruguay",2001,"Applied Soil Ecology",16,"","275-282",""
"535",99,"Uruguay","Inga uraguensis","Frioni et al","Differentiation of rhizobia isolated from native legume trees in Uruguay",2001,"Applied Soil Ecology",16,"","275-282",""
"536",99,"Uruguay","Prosopis nigra","Frioni et al","Differentiation of rhizobia isolated from native legume trees in Uruguay",2001,"Applied Soil Ecology",16,"","275-282",""
"537",100,"Tunisia","Prosopis farcta","Fterich et al","Characterization of root-nodulating bacteria associated to Prosopis farcta growing in the arid regions of Tunisia",2011,"Archives of Microbiology",193,"","385-397",""
"543",101,"Tunisia","Acacia tortilis","Fterich et al","Taxonomic and symbiotic diversity of bacteria isolated from nodules of Acacia tortilis subsp. Raddiana in arid soils of Tunisia",2012,"Canadian Journal of Microbiology",58,"","738-751",""
"550",103,"China","Astragalus adsurgens","Gao et al","Mesorhizobium septentrionale sp. nov. and Mesorhizobium temperatum sp. nov., isolated from the Astragalus adsurgens growing in the northern regions of China",2004,"Interantional Journal of Systematic and Evolutionary Microbiology",54,"","2003-2012",""
"554",104,"South_Africa","Rhynchosia ferulifolia","Garau et al","Novel strains of nodulating Burkholderia have a role in nitrogen fixation with papilionoid herbaceous legumes adapted to acid, infertile soils",2009,"Soil Biology and Biochemistry",41,"","125-134",""
"557",105,"South_Africa","Lessertia herbacea","Gerding et al","Diverse Mesorhizobium spp. With unique nodA nodulating the South African legume species of the genus Lessertia",2012,"Plant and Soil",258,"","285-401",""
"558",105,"South_Africa","Lessertia annularis","Gerding et al","Diverse Mesorhizobium spp. With unique nodA nodulating the South African legume species of the genus Lessertia",2012,"Plant and Soil",258,"","285-401",""
"559",105,"South_Africa","Lessertia capitata","Gerding et al","Diverse Mesorhizobium spp. With unique nodA nodulating the South African legume species of the genus Lessertia",2012,"Plant and Soil",258,"","285-401",""
"561",105,"South_Africa","Lessertia diffusa","Gerding et al","Diverse Mesorhizobium spp. With unique nodA nodulating the South African legume species of the genus Lessertia",2012,"Plant and Soil",258,"","285-401",""
"564",105,"South_Africa","Lessertia excisa","Gerding et al","Diverse Mesorhizobium spp. With unique nodA nodulating the South African legume species of the genus Lessertia",2012,"Plant and Soil",258,"","285-401",""
"566",105,"South_Africa","Lessertia frutescens","Gerding et al","Diverse Mesorhizobium spp. With unique nodA nodulating the South African legume species of the genus Lessertia",2012,"Plant and Soil",258,"","285-401",""
"569",105,"South_Africa","Lessertia microphylla","Gerding et al","Diverse Mesorhizobium spp. With unique nodA nodulating the South African legume species of the genus Lessertia",2012,"Plant and Soil",258,"","285-401",""
"571",106,"Poland","Astragalus glycyphyllos","Gnat at al","Phenotypic characterization of Astragalus glycyphyllos symbionts and their phylogeny based on the 16S rDNA seqences and RFLP of 16S rRNA gene",2014,"Antonie van Leeuwenhoek",105,"","1033-1048",""
"573",108,"China","Desmodium elegans","Gu et al","Genetic diversity of rhizobia associated with Desmodium species grown in China",2007,"The Society for Applied Microbiology ",44,"","286-292",""
"575",108,"China","Desmodium heterocarpon","Gu et al","Genetic diversity of rhizobia associated with Desmodium species grown in China",2007,"The Society for Applied Microbiology ",44,"","286-292",""
"577",108,"China","Desmodium microphyllum","Gu et al","Genetic diversity of rhizobia associated with Desmodium species grown in China",2007,"The Society for Applied Microbiology ",44,"","286-292",""
"580",108,"China","Hylodesmum podocarpum","Gu et al","Genetic diversity of rhizobia associated with Desmodium species grown in China",2007,"The Society for Applied Microbiology ",44,"","286-292",""
"582",108,"China","Desmodium sequax","Gu et al","Genetic diversity of rhizobia associated with Desmodium species grown in China",2007,"The Society for Applied Microbiology ",44,"","286-292",""
"585",109,"China","Caragana korshinskii","Guan et al","Mesorhizobium caraganae sp. nov., a novel rhizobial species nodulated with Caragana spp. in China",2008,"International Journal of Systematic and Evolutionary Microbiology",58,"","2646-2653",""
"591",111,"Morocco","Medicago arborea","Guerrouj et al","Ensifer meliloti is the preferred symbiont of Medicago arborea in eastern Morocco soils",2013,"Canadian Journal of Microbiology",59,"","540-548",""
"595",112,"Senegal","Zornia glochidiata","Gueye et al","Genetic diversity and distribution of Bradyrhizobium and Azorhizobium strains associated with the herb legume Zornia glochidiata sampled from across Sengal",2009,"Systematic and Applied Microbiology",32,"","387-399",""
"598",113,"China","Astragalus filicaulis","Han et al","Molecular diversity and phylogeny of rhizobia associated with wild legumes native to Xinjiang, China",2008,"Systematic and Applied Microbiology",31,"","287-301",""
"602",113,"China","Lathyrus odoratus","Han et al","Molecular diversity and phylogeny of rhizobia associated with wild legumes native to Xinjiang, China",2008,"Systematic and Applied Microbiology",31,"","287-301",""
"606",113,"China","Astragalus aksuensis","Han et al","Molecular diversity and phylogeny of rhizobia associated with wild legumes native to Xinjiang, China",2008,"Systematic and Applied Microbiology",31,"","287-301",""
"610",113,"China","Caragana jubata","Han et al","Molecular diversity and phylogeny of rhizobia associated with wild legumes native to Xinjiang, China",2008,"Systematic and Applied Microbiology",31,"","287-301",""
"613",113,"China","Lathyrus humilis","Han et al","Molecular diversity and phylogeny of rhizobia associated with wild legumes native to Xinjiang, China",2008,"Systematic and Applied Microbiology",31,"","287-301",""
"618",113,"China","Lotus frondosus","Han et al","Molecular diversity and phylogeny of rhizobia associated with wild legumes native to Xinjiang, China",2008,"Systematic and Applied Microbiology",31,"","287-301",""
"623",113,"China","Lotus tenuis","Han et al","Molecular diversity and phylogeny of rhizobia associated with wild legumes native to Xinjiang, China",2008,"Systematic and Applied Microbiology",31,"","287-301",""
"628",113,"China","Lathyrus gmelinii","Han et al","Molecular diversity and phylogeny of rhizobia associated with wild legumes native to Xinjiang, China",2008,"Systematic and Applied Microbiology",31,"","287-301",""
"632",113,"China","Oxytropis glabra","Han et al","Molecular diversity and phylogeny of rhizobia associated with wild legumes native to Xinjiang, China",2008,"Systematic and Applied Microbiology",31,"","287-301",""
"636",113,"China","Robinia pseudoacacia","Han et al","Molecular diversity and phylogeny of rhizobia associated with wild legumes native to Xinjiang, China",2008,"Systematic and Applied Microbiology",31,"","287-301",""
"641",113,"China","Sophora alopecuroides","Han et al","Molecular diversity and phylogeny of rhizobia associated with wild legumes native to Xinjiang, China",2008,"Systematic and Applied Microbiology",31,"","287-301",""
"645",113,"China","Vicia sativa","Han et al","Molecular diversity and phylogeny of rhizobia associated with wild legumes native to Xinjiang, China",2008,"Systematic and Applied Microbiology",31,"","287-301",""
"650",113,"China","Vicia cracca","Han et al","Molecular diversity and phylogeny of rhizobia associated with wild legumes native to Xinjiang, China",2008,"Systematic and Applied Microbiology",31,"","287-301",""
"654",114,"China","Astragalus aksuensis","Han et al","Rhizobium multihospitium sp. nov., isolated from multiple legume species native of Xinjiang, China",2008,"International Journal of Systematic and Evolutionary Microbiology",58,"","1693-1699",""
"657",114,"China","Caragana jubata","Han et al","Rhizobium multihospitium sp. nov., isolated from multiple legume species native of Xinjiang, China",2008,"International Journal of Systematic and Evolutionary Microbiology",58,"","1693-1699",""
"660",114,"China","Lotus tenuis","Han et al","Rhizobium multihospitium sp. nov., isolated from multiple legume species native of Xinjiang, China",2008,"International Journal of Systematic and Evolutionary Microbiology",58,"","1693-1699",""
"663",115,"China","Astragalus filicaulis","Han et al","Mesorhizobium gobiense sp. nov. and Mesorhizobium tarimense sp. nov., isolated from wild legumes growing in desert soils of Xinjiang, China",2008,"International Journal of Systematic and Evolutionary Microbiology",58,"","2610-2618",""
"666",115,"China","Lotus frondosus","Han et al","Mesorhizobium gobiense sp. nov. and Mesorhizobium tarimense sp. nov., isolated from wild legumes growing in desert soils of Xinjiang, China",2008,"International Journal of Systematic and Evolutionary Microbiology",58,"","2610-2618",""
"669",115,"China","Oxytropis glabra","Han et al","Mesorhizobium gobiense sp. nov. and Mesorhizobium tarimense sp. nov., isolated from wild legumes growing in desert soils of Xinjiang, China",2008,"International Journal of Systematic and Evolutionary Microbiology",58,"","2610-2618",""
"672",115,"China","Robinia pseudoacacia","Han et al","Mesorhizobium gobiense sp. nov. and Mesorhizobium tarimense sp. nov., isolated from wild legumes growing in desert soils of Xinjiang, China",2008,"International Journal of Systematic and Evolutionary Microbiology",58,"","2610-2618",""
"681",116,"South_Africa","Aspalathus linearis","Hassen et al","Nodulation of rooibos (Aspalathus linearis Burm. f.), an indigenous South African legume, by members of both the _-Proteobacteria and the _-Proteobacteria",2012,"Biology and Fertility of Soils",48,"","295-303",""
"682",118,"Australia","Acacia salicina","Hoque et al","Genetic characterization fo root-nodule bacteria associated with Acacia salicina and A/ stenophylla (Mimosaceae) across south-eastern Australia",2011,"International Journal of Systematic and Evolutionary Microbiology",61,"","299-309",""
"684",118,"Australia","Acacia stenophylla","Hoque et al","Genetic characterization fo root-nodule bacteria associated with Acacia salicina and A/ stenophylla (Mimosaceae) across south-eastern Australia",2011,"International Journal of Systematic and Evolutionary Microbiology",61,"","299-309",""
"686",119,"China","Astragalus tatsienensis","Hou et al","Rhizobial resource associated with epidemic legumes in Tibet",2009,"Microbial Ecology",57,"","69-81",""
"687",119,"China","Vicia tibetica","Hou et al","Rhizobial resource associated with epidemic legumes in Tibet",2009,"Microbial Ecology",57,"","69-81",""
"691",119,"China","Caragana sinica","Hou et al","Rhizobial resource associated with epidemic legumes in Tibet",2009,"Microbial Ecology",57,"","69-81",""
"695",119,"China","Tibetia himalaica","Hou et al","Rhizobial resource associated with epidemic legumes in Tibet",2009,"Microbial Ecology",57,"","69-81",""
"697",119,"China","Medicago falcata","Hou et al","Rhizobial resource associated with epidemic legumes in Tibet",2009,"Microbial Ecology",57,"","69-81",""
"698",119,"China","Medicago lupulina","Hou et al","Rhizobial resource associated with epidemic legumes in Tibet",2009,"Microbial Ecology",57,"","69-81",""
"699",119,"China","Melilotus officinalis","Hou et al","Rhizobial resource associated with epidemic legumes in Tibet",2009,"Microbial Ecology",57,"","69-81",""
"701",119,"China","Oxytropis cachemiriana","Hou et al","Rhizobial resource associated with epidemic legumes in Tibet",2009,"Microbial Ecology",57,"","69-81",""
"706",119,"China","Oxytropis glabra","Hou et al","Rhizobial resource associated with epidemic legumes in Tibet",2009,"Microbial Ecology",57,"","69-81",""
"709",119,"China","Medicago archiducis-nicolai","Hou et al","Rhizobial resource associated with epidemic legumes in Tibet",2009,"Microbial Ecology",57,"","69-81",""
"713",119,"China","Oxytropis subpodoloba","Hou et al","Rhizobial resource associated with epidemic legumes in Tibet",2009,"Microbial Ecology",57,"","69-81",""
"716",120,"South_Africa","Lebeckia ambigua","Howieson et al","Novel Burkholderia bacteria isolated from Lebeckia ambigua - A perennial suffrutescent legume of the fynbos",2013,"Soil Biology and Biochemistry",60,"","55-64",""
"717",121,"Taiwan","Ohwia caudata","Hung et al","Indigenous rhizobia associated with native shrubby legumes in Taiwan",2005,"Pedobiologia",49,"","577-584",""
"718",121,"Taiwan","Alysicarpus vaginalis","Hung et al","Indigenous rhizobia associated with native shrubby legumes in Taiwan",2005,"Pedobiologia",49,"","577-584",""
"719",121,"Taiwan","Christia obcordata","Hung et al","Indigenous rhizobia associated with native shrubby legumes in Taiwan",2005,"Pedobiologia",49,"","577-584",""
"720",121,"Taiwan","Indigofera hirsuta","Hung et al","Indigenous rhizobia associated with native shrubby legumes in Taiwan",2005,"Pedobiologia",49,"","577-584",""
"721",122,"Spain","Prosopis alba","Iglesias et al","Genetic characterization of fast-growing rhizobia able to nodulate Prosopis alba in North Spain",2007,"Federation of European Microbiological Societies",277,"","210-216",""
"725",123,"South_Africa","Lotononis bainesii","Jaftha et al","Characterization of pigmented methylotrophic bacteria which nodulate Lotononis bainesii",2002,"Systematic and Applied Microbiology",25,"","440-449",""
"726",124,"Canary_Islands","Adenocarpus foliolosus","Jarabo-Lorenzo et al","Restriction fragment length polymorphism analysis of 16S rDNA and low molecular weight RNA profiling of rhizobial isolates from shrubby legumes endemic to the Canary Islands",2000,"Systematic and Applied Microbiology",23,"","418-425",""
"728",124,"Canary_Islands","Cytisus proliferus","Jarabo-Lorenzo et al","Restriction fragment length polymorphism analysis of 16S rDNA and low molecular weight RNA profiling of rhizobial isolates from shrubby legumes endemic to the Canary Islands",2000,"Systematic and Applied Microbiology",23,"","418-425",""
"730",125,"Spain","Lupinus angustifolius","Jarabo-Lorenzo et al","Genetic diversity of Bradyrhizobial populations from diverse geograpgic origins that nodulate Lupinus spp. And Ornithopus spp.",2003,"Systematic and Applied Microbiology",26,"","611-623",""
"731",125,"United_States","Lupinus angustifolius","Jarabo-Lorenzo et al","Genetic diversity of Bradyrhizobial populations from diverse geograpgic origins that nodulate Lupinus spp. And Ornithopus spp.",2003,"Systematic and Applied Microbiology",26,"","611-623",""
